Mode;Unit;Value;Temp;Time;Date
MEDIÇÃO DE pH;pH;0.37;24.07;1000;06/05/2024 15:46:15
MEDIÇÃO DE pH;pH;0.42;24.75;2000;06/05/2024 15:46:15
MEDIÇÃO DE pH;pH;0.51;24.79;3000;06/05/2024 15:46:15
